"","SrcID","cultivar_notes"
"551",221546,""
"552",157980,""
"553",151272,""
"554",157826,""
"555",150438,""
"556",216842,""
"557",202233,""
"558",157958,""
"559",209905,""
"560",149237,""
"561",116220,""
"562",213360,""
"563",221827,""
"564",219701,""
"565",202048,""
"566",241668,""
"567",202532,""
"568",202533,""
"569",115526,""
"570",240253,""
"571",220305,""
"572",220307,""
"573",214151,""
"574",205862,""
"575",205863,""
"576",206911,""
"577",208133,""
"578",209786,""
"579",212288,""
"580",217341,""
"581",221812,""
"582",221926,""
"583",214331,""
"584",225888,""
"585",202461,""
"586",220969,""
"587",221369,""
"588",150671,""
"589",223138,""
"590",221132,""
"591",221467,""
"592",214029,""
"593",220174,""
"594",157986,""
"595",78997,""
"596",149985,""
"597",157900,""
"598",222604,""
"599",242262,""
"600",234341,""
"601",151276,""
"602",211152,""
"603",211153,""
"604",221729,""
"605",210409,""
"606",213134,""
"607",213136,""
"608",217837,""
"609",217838,""
"610",204107,""
"611",242014,""
"612",221015,""
"613",221016,""
"614",221017,""
"615",214015,""
"616",233455,""
"617",213217,""
"618",221163,""
"619",221164,""
"620",221045,""
"621",219586,""
"622",217843,""
"623",219623,""
"624",207783,""
"625",221222,""
"626",212965,""
"627",203764,""
"628",213256,""
"629",213257,""
"630",217036,""
"631",217032,""
"632",245754,""
"633",220000,""
"634",216636,""
"635",216639,""
"636",206086,""
"637",206193,""
"638",206191,""
"639",206802,""
"640",206928,""
"641",214025,""
"642",214016,""
"643",214147,""
"644",216437,""
"645",216638,""
"646",216637,""
"647",213429,""
"648",217037,""
"649",217031,""
"650",217035,""
"651",207983,""
"652",209594,""
"653",209593,""
"654",209609,""
"655",209634,""
"656",218880,""
"657",211180,""
"658",221161,""
"659",221162,""
"660",221039,""
"661",221221,""
"662",226823,""
"663",212975,""
"664",45331,""
"665",129069,""
"666",229158,""
"667",213336,""
"668",198073,""
"669",194221,""
"670",208177,""
"671",230778,""
"672",230742,""
"673",231002,""
"674",194525,""
"675",231504,""
"676",199089,""
"677",180663,""
"678",200486,""
"679",198578,""
"680",194944,""
"681",232000,""
"682",192273,""
"683",193312,""
"684",212438,""
"685",227518,""
"686",232213,""
"687",231375,""
"688",194365,""
"689",231999,""
"690",160557,""
"691",194454,""
"692",191851,""
"693",191852,""
"694",191772,""
"695",232122,""
"696",232989,""
"697",195879,""
"698",210429,""
"699",230644,""
"700",201992,""
"701",195436,""
"702",232622,""
"703",233014,""
"704",213909,""
"705",213910,""
"706",198577,""
"707",175155,""
"708",231735,""
"709",231737,""
"710",194597,""
"711",232995,""
"712",210119,""
"713",231506,""
"714",231553,""
"715",231535,""
"716",191450,""
"717",193864,""
"718",194369,""
"719",213682,""
"720",208240,""
"721",185427,""
"722",210102,""
"723",226061,""
"724",213913,""
"725",193547,""
"726",174963,""
"727",191623,""
"728",200789,""
"729",195878,""
"730",225217,""
"731",213652,""
"732",160209,""
"733",208239,""
