Record Format,Scientific Name,Common Name,Family,Genus,Specimens,Photo(s),Infraspecies,Infraspecies Author,Ecology,Native,Endemic,DEP,EPPC1,EPPC2,Global Rank Comment,Growth Habit,Nature Serve,NWI,Plant Notes,Species,Species Author,State Rank Comment,Status State,Status US,Taxon Notes,USDA Symbol,WAP
Accepted Name,Carex chapmannii,CHAPMAN'S SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FAC,null,chapmannii,Steud.,null,Threatened-State,,null,null,null
Accepted Name,Carex cherokeensis,CHEROKEE SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,cherokeensis,Schwein.,null,,,null,null,null
Accepted Name,Carex comosa,LONGHAIR SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,comosa,Boott,null,,,null,null,null
Accepted Name,Carex dasycarpa,SANDYWOODS SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,null,null,dasycarpa,Muhl.,null,,,null,null,null
Accepted Name,Carex fissa var. aristata,HAMMOCK SEDGE,CYPERACEAE,Carex,Y,Y,var. aristata,F.J.Herm.,null,Y,N,FACW,N,N,null,null,null,FACW,null,fissa,Mack.,null,,,null,null,null
Accepted Name,Carex gholsonii,GHOLSON'S SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,null,N,N,null,null,null,FACW,null,gholsonii,Naczi & Cochrane,null,,,null,null,null
Accepted Name,Carex gigantea,GIANT SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,Carex gator is a recent segregate from C. gigantea (Lacroix-Carignan et al. 2026). Carex gator generally has narrower leaves and smaller inflorescences than C. gigantea.,gigantea,Rudge,null,,,null,null,null
Accepted Name,Carex glaucescens,CLUSTERED SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,OBL,null,glaucescens,Elliott,null,,,null,null,null
Accepted Name,Carex godfreyi,GODFREY'S SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,null,N,N,null,null,null,null,null,godfreyi,Naczi,null,,,null,null,null
Accepted Name,Carex granularis,LIMESTONE MEADOW SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,null,N,N,null,null,null,null,null,granularis,Muhl. ex Willd.,null,,,null,null,null
Accepted Name,Carex intumescens,GREATER BLADDER SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,intumescens,Rudge,null,,,null,null,null
Accepted Name,Carex joorii,CYPRESS SWAMP SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,OBL,null,joorii,L.H.Bailey,null,,,null,null,null
Accepted Name,Carex leptalea,BRISTLYSTALKED SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,leptalea,Wahlenb.,null,,,null,null,null
Accepted Name,Carex longii,LONG'S SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,OBL,null,longii,Mack.,null,,,null,null,T
Accepted Name,Carex louisianica,LOUISIANA SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,louisianica,L.H.Bailey,null,,,null,null,null
