barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
3624,null,s.n.,"C. E. Wood, Jr.","Wilson, K. A., & Cooley, G. R.",USA,Hernando Co.,Myrsinaceae,Ardisia,null,null,130355,null,null,null,TRUE,91,null,crenata,Sims,null,North America,04/24/1958,"""Chinsegut"", Chinsegut Hill, NE of Brooksville.",null,null,Fruit,null,null,null,null,"Shrub to 1 m tall, the leaves dark green and glossy above, dull below; berries ""strong red"" (Nickerson Color Fan); cultivated and spreading somewhat through gardens.",null,320,null,ft,FALSE,null,-82.387871,W,28.555272,N,https://cdn.plantatlas.org/img/specimens/USF/3624.JPG
280342,null,37961,S. R. Hill,,USA,Champaign Co.,Brassicaceae,Armoracia,null,null,126587,null,null,null,TRUE,null,null,rusticana,"G. Gaertn., B. Mey. & Scherb.",null,North America,10/12/2008,"Eddie Albert Gardens, Dodds Park, Parkland Way, between Mattis Avenue and Parkland College; at S side of municipal water facility. Rising, IL 7.5 min. quadrangle; coordinate datum WGS84/NAD83.",2008,Garden plot; humus-rich clay.,Fertile,null,null,null,null,"Autumn leaf forms - pinnately lobed; petiole bases purplish; cultivated perennial herb, leaves erect, soft, brittle; root yellowish to white; ca. 1-2 ft. long; typical horseradish taste and aroma.",null,748,null,ft,FALSE,null,-88.28027,W,40.13422,N,https://cdn.plantatlas.org/img/specimens/USF/280342.jpg
299404,null,99,J. Lange,"C.L. Angelo, M. Therrien",USA,Broward Co.,Moraceae,Artocarpus,null,null,233575,null,null,null,TRUE,4953,null,heterophyllus,Lam.,null,North America,02/05/2019,Pine Island Ridge County Park.,null,null,Immature Fruit,null,null,null,null,Cultivated and naturalized at site.,null,null,null,null,FALSE,null,-80.27291,W,26.07868,N,https://cdn.plantatlas.org/img/specimens/USF/299404.JPG
107631,null,17851,E. Lehto,,USA,Maricopa Co.,Asparagaceae,Asparagus,null,null,219632,null,null,null,TRUE,332,null,aethiopicus,L.,null,North America,10/10/1973,AZ University campus.,Oct 2000,null,Fertile,null,null,null,null,Cultivated.,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/107631.jpg
81449,null,301,C. R. Broome,,USA,Hillsborough Co.,Fabaceae,Astragalus,null,null,509,null,null,null,TRUE,2420,null,obcordatus,Elliott,null,North America,05/11/1967,"University of South Florida, Tampa campus; experimental garden.",1967,"Garden, in black soil.",Flower,Fruit,null,null,null,"Plant prostrate, flowers pale blue. Weed in garden, not cultivated.",null,null,null,null,FALSE,null,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/81449.jpg
250651,null,1328,A. R. Franck,,USA,Sarasota Co.,Poaceae,Bambusa,null,null,47888,null,null,null,TRUE,422,null,multiplex,Lour.,Raeusch. ex Schult. & Schult.f.,North America,06/13/2009,"S side of Webber Street, 0.65 km E of its junction with Beneva Road, Sarasota.  T36S, R18E, Sec. 34, NE¼ of NW¼.",null,"Highly disturbed mesic hammock, replete witwh Dioscorea bulbifera.",null,null,null,null,null,Spreading throughout; cultivated source not evident.,null,null,null,null,FALSE,null,-82.743347,W,27.326655,N,https://cdn.plantatlas.org/img/specimens/USF/250651.jpg
208711,null,28135,M. Nee,,Nicaragua,null,Fabaceae,Bauhinia,null,null,127732,null,null,null,TRUE,null,null,monandra,Kurz,null,Central America,09/15/1983,"Vicinity of town of Balgue, Isla de Ometepe, lower slopes of Volcan Maderas.",1985,null,Flower,Fruit,null,null,null,"Small tree, cultivated as an ornamental; flowers pink; fruit green, hanging.",null,50,100,m,FALSE,null,-85.51666667,W,11.48333333,N,https://cdn.plantatlas.org/img/specimens/USF/208711.jpg
155039,null,13140,W. D. Stevens,B.A. Krukoff,Nicaragua,null,Fabaceae,Bauhinia,null,null,166862,null,null,null,TRUE,null,null,monandra,Kurz,null,Central America,05/20/1979,"Parque Nacional Volcán Masaya, along road on W shore of Laguna de Masaya.",null,Broken lava.,Flower,null,null,null,null,"Cultivated, small tree, corolla pale purple except one lobe densely marked with dark red-purple.",null,140,null,m,FALSE,null,-86.11666667,W,11.95,N,https://cdn.plantatlas.org/img/specimens/USF/155039.jpg
284354,null,23259,S. Y. Hu,Paul But,China,null,Fabaceae,Bauhinia,null,null,127749,null,null,null,TRUE,1493,null,purpurea,L.,null,Asia,12/02/1998,Science Centre; Chinese University of Hong Kong.,null,null,Flower,Fruit,null,null,null,Evergreen trees 3-4 cm. high; cultivated as street tree; flowers pink; petals wrinkled; fertile; fruits hanging on tree for months.,null,null,null,null,FALSE,null,105,E,35,N,https://cdn.plantatlas.org/img/specimens/USF/284354.jpg
284350,null,23258,S. Y. Hu,P. But,China,null,Fabaceae,Bauhinia,null,null,127646,null,null,null,TRUE,null,null,x blakeana,Dunn,null,Asia,12/02/1998,"Science Center, Chinese University of Hong Kong.",null,null,Flower,null,null,null,null,"Evergreen trees 3-4 m high, cultivated as street trees, flowers purple-red, centre of inferior petal dark violet-red, sterile.",null,null,null,null,FALSE,null,105,E,35,N,https://cdn.plantatlas.org/img/specimens/USF/284350.jpg
285840,null,9675,S. Y. Hu,,China,null,Apocynaceae,Beaumontia,null,null,136560,null,null,null,TRUE,null,null,grandiflora,Wall.,null,Asia,03/19/1970,Shatin.,null,null,Flower,null,null,null,null,"Large woody vine; cultivated for ornamental purpose flowers white, conspicuous.",null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/285840.JPG
264559,null,33482,S. R. Hill,K. Kramer,USA,Imperial Co.,Amaranthaceae,Beta,null,null,224467,null,null,null,TRUE,null,null,vulgaris,L.,null,North America,04/27/2001,CA 86/78; W side of road; ca. Kane Spring; 0.6 mi. SE of US Border Patrol Station at San Felipe Wash bridge; ca. 3.3 mi. SW of Salton Sea margin.,2001,"Dsiturbed sandy gravel within bulldozed ditch; periodically moist; open; sparsely vegetatied flats; Atriplex, creosote bush; Oligomeris.",Fertile,null,null,null,null,Local; green flowers; beet-red stems; gradually acending lateral branches; look nothing like cultivated beet.,null,170,null,ft,FALSE,null,-115.85,W,33.11666667,N,https://cdn.plantatlas.org/img/specimens/USF/264559.jpg
149309,null,222,J. B. Watson,,Ecuador,null,Bixaceae,Bixa,null,null,226980,null,null,null,TRUE,null,null,orellana,L.,null,South America,02/01/1980,Rio Palenque Science Center; km 56 on the Quevedo-Santo Domingo Road.,null,"Cacao orchard, 1 plant seen.",Fruit,null,null,null,null,"Cultivated tree to 6 m; leaves bright green, fruits brown, seeds brown; no epiphytes growing on it.",null,150,220,m,FALSE,null,-79.756,W,-1.438,S,https://cdn.plantatlas.org/img/specimens/USF/149309.jpg
206789,null,23026,S. R. Hill,,USA,Pickens Co.,Brassicaceae,Brassica,null,null,126594,rapa,null,null,TRUE,null,var.,rapa,L.,null,North America,05/02/1992,"156 Cedar Creek Circle, Central.",Nov 1992,null,Fertile,null,null,null,null,"Flowers yellow, fruit green; cultivated glaucous herb 3 ft. tall.",null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/206789.jpg
206790,null,23026,S. R. Hill,,USA,Pickens Co.,Brassicaceae,Brassica,null,null,126595,rapa,null,null,TRUE,null,var.,rapa,L.,null,North America,05/02/1992,"156 Cedar Creek Circle, Central.",Nov 1992,null,Fertile,null,null,null,null,"Flowers yellow, fruit green; cultivated glaucous herb 3 ft. tall.",null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/206790.jpg
223348,null,1598,K. A. Bradley,,USA,Miami-Dade Co.,Solanaceae,Browallia,null,null,54083,null,null,null,TRUE,1854,null,americana,L.,null,North America,03/31/1998,"Residence of Roger and Lisa Hammer, 17360 Avocado Drive, Homestead.",null,null,Flower,Fruit,null,null,null,Weed; was cultivated here but has since recruited from seed in many places in the yard and is apparently established.,null,null,null,null,FALSE,null,-80.477557,W,25.468722,N,https://cdn.plantatlas.org/img/specimens/USF/223348.jpg
211762,null,25768,S. R. Hill,D. Kandt & K. Kandt,Dominica,St. Patrick Par.,Solanaceae,Brugmansia,null,null,137521,null,null,null,TRUE,294,null,suaveolens,Humb. & Bonpl. ex Willd.,Bercht. & J. Presl,West Indies,06/01/1994,"Town of Bellevue Chopin, road to Grand Bay; roadside near house.",Jun 1994,null,Flower,null,null,null,null,"Flowers peach-color, pendulous; cultivated or escaped shrub 10 ft. wide.",null,1500,null,ft,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/211762.JPG
