"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"46",249034,"null","1988","S. W. Woodmansee","","USA","Monroe Co.","Araucariaceae","Araucaria","null","null",33255,"null","null","null",TRUE,"4258","null","heterophylla","W. Salisb.","Franco","North America","05/16/2007","Big Pine Key; Monroe County owned (unnamed) preserve, 100 m E of the intersection of Fern Avenue and Guava Lane, ca. 27 air mi. NE of downtown Key West.  NAD 83, UTM 17N E 462055; N 2729868.","null","Scrape pine rockland; plants within 1 m of collection include Conocarpus erectus, Myrica cerifera Mosiera longipes, Coccothrinax argentata, Chiococca parvifolia [C. alba], Cassytha filiformis, and Metopium toxiferum.","null","null","null","null","null","Single tree 5 ft. tall; soil at base of plant does not indicate cultivation.","null","null","null","null",FALSE,"null","-81","W","25.3333","N","https://cdn.plantatlas.org/img/specimens/USF/249034.jpg"
"47",219432,"null","28858","S. R. Hill","","USA","Champaign Co.","Apocynaceae","Araujia","null","null",130889,"null","null","null",TRUE,"null","null","curassavica","L.","null","North America","10/30/1996","Champaign, residential area, 1411 Winding Lane.","Oct 1996","null","Flower","Fruit","null","null","null","Hoods orange, tepals red-orange; cultivated annual 1.5 m tall; abundant milky sap; fruits green.","null","null","null","null",FALSE,"null","-88.243383","W","40.11642","N","https://cdn.plantatlas.org/img/specimens/USF/219432.JPG"
"48",3624,"null","s.n.","C. E. Wood, Jr.","Wilson, K. A., & Cooley, G. R.","USA","Hernando Co.","Myrsinaceae","Ardisia","null","null",130355,"null","null","null",TRUE,"91","null","crenata","Sims","null","North America","04/24/1958","""Chinsegut"", Chinsegut Hill, NE of Brooksville.","null","null","Fruit","null","null","null","null","Shrub to 1 m tall, the leaves dark green and glossy above, dull below; berries ""strong red"" (Nickerson Color Fan); cultivated and spreading somewhat through gardens.","null","320","null","ft",FALSE,"null","-82.387871","W","28.555272","N","https://cdn.plantatlas.org/img/specimens/USF/3624.JPG"
"53",218945,"null","342","B. E. Dutton","D. D. Taylor.","USA","Cameron Par.","Poaceae","Arundo","null","null",116478,"null","null","null",TRUE,"1867","null","donax","L.","null","North America","09/03/1983","Along LA 27, Hackberry, 2.2 mi. N of junction LA 27 and La 390. T12S, R10W.","null","Ditch.","Fertile","null","null","null","null","Escape from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/218945.jpg"
"57",107631,"null","17851","E. Lehto","","USA","Maricopa Co.","Asparagaceae","Asparagus","null","null",219632,"null","null","null",TRUE,"332","null","aethiopicus","L.","null","North America","10/10/1973","AZ University campus.","Oct 2000","null","Fertile","null","null","null","null","Cultivated.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/107631.jpg"
"60",130985,"null","8945","W. C. Brumbach","","USA","Lee Co.","Asparagaceae","Asparagus","null","null",17123,"null","null","null",TRUE,"334","null","setaceus","Kunth","Jessop","North America","03/11/1976","Western Sanibel Island.","null","null","null","null","null","null","null","Vines climbing on the base of Casuarina; to 3 m long. Escaped from cultivation.","null","null","null","null",FALSE,"null","-82.022314","W","26.44897","N","https://cdn.plantatlas.org/img/specimens/USF/130985.jpg"
"61",14092,"null","50465","J. A. Duke","","USA","Buncombe Co.","Asteraceae","Aster ","null","null",193066,"null","null","null",TRUE,"null","null","tataricus","L.","null","North America","10/08/1958","5.1 mi. W of junction NC 63 and US 19-23, vicinity of Luther.","null","null","null","null","null","null","null","Probably persistant from cultivation, but spreading.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/14092.jpg"
"62",81449,"null","301","C. R. Broome","","USA","Hillsborough Co.","Fabaceae","Astragalus","null","null",509,"null","null","null",TRUE,"2420","null","obcordatus","Elliott","null","North America","05/11/1967","University of South Florida, Tampa campus; experimental garden.","1967","Garden, in black soil.","Flower","Fruit","null","null","null","Plant prostrate, flowers pale blue. Weed in garden, not cultivated.","null","null","null","null",FALSE,"null","-82.458428","W","27.947522","N","https://cdn.plantatlas.org/img/specimens/USF/81449.jpg"
"63",83297,"null","31467","O. K. Lakela","","USA","Highlands Co.","Acanthaceae","Asystasia","null","null",131669,"null","null","null",TRUE,"null","null","gangetica","L.","T. Anderson","North America","05/19/1968","Archbold Biological Station.","Feb 1970","null","Flower","null","null","null","null","Ornamental cultigen.","null","null","null","null",FALSE,"null","-81.352017","W","27.181438","N","https://cdn.plantatlas.org/img/specimens/USF/83297.jpg"
"64",250651,"null","1328","A. R. Franck","","USA","Sarasota Co.","Poaceae","Bambusa","null","null",47888,"null","null","null",TRUE,"422","null","multiplex","Lour.","Raeusch. ex Schult. & Schult.f.","North America","06/13/2009","S side of Webber Street, 0.65 km E of its junction with Beneva Road, Sarasota.  T36S, R18E, Sec. 34, NE¼ of NW¼.","null","Highly disturbed mesic hammock, replete witwh Dioscorea bulbifera.","null","null","null","null","null","Spreading throughout; cultivated source not evident.","null","null","null","null",FALSE,"null","-82.743347","W","27.326655","N","https://cdn.plantatlas.org/img/specimens/USF/250651.jpg"
"65",245494,"null","2286","J. M. Kunzer","","USA","Volusia Co.","Poaceae","Bambusa","null","null",47889,"null","null","null",TRUE,"422","null","multiplex","Lour.","Raeusch. ex Schult. & Schult.f.","North America","03/20/2008","Ca. 75 m ENE of the Fairchild Oak parking area.","null","Small forested seepage ravine.","Fertile","null","null","null","null","Culms ascending, to ca. 9 m tall; possibly persisting from cultivation, but spreading.","null","null","null","null",FALSE,"Bulow Creek State Park","-81.13083333","W","29.38861111","N","https://cdn.plantatlas.org/img/specimens/USF/245494.jpg"
