"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"209",25910,"null","3720","Collector Unspecified on Label","","Cuba","null","Orchidaceae","Cyclopogon","null","null",79056,"null","null","null",TRUE,"2833","null","elatus","Sw.","Schltr.","West Indies","s.d.","null","21-Feb-2017","null","Flower","Fruit","null","null","null","Cultivated in Montreal, Canada.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/25910.jpg"
"211",65308,"null","s.n.","D. Laker","","USA","Hillsborough Co.","Fabaceae","Dalbergia","null","null",127979,"null","null","null",TRUE,"1447","null","sissoo","Roxb. ex. DC.","null","North America","06/15/1965","Florida Avenue, 1 mi. N of Hillsborough Avenue, Tampa.","null","null","Fruit","null","null","null","null","Tree, 15 m tall, deciduous, cultivated, ca. 25 years old; leaves pinnate, leaflefts 5, alternate, abruptly acuminate; samaras brown, wood stringy.","null","null","null","null",FALSE,"null","-82.35","W","27.9167","N","https://cdn.plantatlas.org/img/specimens/USF/65308.jpg"
"212",65307,"null","s.n.","D. Laker","","USA","Hillsborough Co.","Fabaceae","Dalbergia","null","null",127980,"null","null","null",TRUE,"1447","null","sissoo","Roxb. ex. DC.","null","North America","06/15/1965","Florida Avenue, 1 mi. N of Hillsborough Avenue, Tampa.","null","null","Fruit","null","null","null","null","Tree, 15 m tall, deciduous, cultivated, ca. 25 years old; leaves pinnate, leaflefts 5, alternate, abruptly acuminate; samaras brown, 1-2 seeded; wood stringy.","null","null","null","null",FALSE,"null","-82.35","W","27.9167","N","https://cdn.plantatlas.org/img/specimens/USF/65307.jpg"
"213",127213,"null","5760","R. P. Wunderlin","","USA","Highlands Co.","Hemerocallidaceae","Dianella","null","null",28269,"null","null","null",TRUE,"397","null","ensifolia","L.","DC.","North America","01/13/1977","null","June 1998","null","Flower","null","null","null","null","Well-established along edge of woods. Escaped from cultivation.","null","null","null","null",FALSE,"Highlands Hammock State Park","-81.35","W","27.3667","N","https://cdn.plantatlas.org/img/specimens/USF/127213.jpg"
"215",193488,"null","11333","B. F. Hansen","J. Hansen","USA","Palm Beach Co.","Ebenaceae","Diospyros","null","null",130404,"null","null","null",TRUE,"null","null","ebenum","Koenig ex Retz.","null","North America","05/15/1987","On S side of Lake Okeechobee levee, at Lake Harbor. T43S, R35E, Sec. 36.","null","Wooded area, just E of the pumping station.","null","null","null","null","null","Large trees persistent from cultivation.","null","null","null","null",FALSE,"null","-80.829783","W","27.243935","N","https://cdn.plantatlas.org/img/specimens/USF/193488.JPG"
"216",191866,"null","11321","B. F. Hansen","R.P. Wunderlin, K. Kuhlman","USA","Palm Beach Co.","Ebenaceae","Diospyros","null","null",130402,"null","null","null",TRUE,"null","null","ebenum","Koenig ex Retz.","null","North America","09/25/1986","On S side of Lake Okeechobee levee, at Lake Harbor. T43S, R35E, Sec. 36.","null","Wooded area; just across the canal from pumping station.","null","null","null","null","null","Medium tree persistent from cultivation.","null","null","null","null",FALSE,"null","-80.829783","W","27.243935","N","https://cdn.plantatlas.org/img/specimens/USF/191866.JPG"
"217",223353,"null","831","K. A. Bradley","","USA","Miami-Dade Co.","Ebenaceae","Diospyros","null","null",17764,"null","null","null",TRUE,"1510","null","maritima","Blume","null","North America","10/03/1997","9610 Old Cutler Road. West of Old Cutler Road,  along the S property line.","null","In rockland hammock.","null","null","null","null","null","A small colony here that has recruited from cultivated plants at Fairchild Tropical Garden.","null","null","null","null",FALSE,"Matheson Hammock Park","-80.310608","W","25.615105","N","https://cdn.plantatlas.org/img/specimens/USF/223353.jpg"
"218",151939,"null","9504","W. C. Brumbach","","USA","Lee Co.","Poaceae","Echinochloa","null","null",51320,"null","null","null",TRUE,"1903","null","crus-galli","L.","P. Beauv.","North America","07/02/1979","Central Sanibel [Island]; bordering a bicycle path.","null","Roadsides.","Fertile","null","null","null","null","A grass escaped from cultivation and spreading rapidly.","null","null","null","null",FALSE,"null","-82.022314","W","26.44897","N","https://cdn.plantatlas.org/img/specimens/USF/151939.jpg"
"220",243539,"null","100","C. L. McCartney Jr.","","USA","Collier Co.","Asteraceae","Elephantopus","null","null",40340,"null","null","null",TRUE,"3141","null","carolinianus","Raeusch.","null","North America","10/22/2005","Ca. 0.5 mi. W of L-28 Interceptor Canal, ca. 1.0 mi. S of Big Cypress Indian Reservation at the Hnedry County line, N side of buggy trail to Rabinau Camp.","null","Overgrown area of south Florida slash pine (Pinus elliottii var. densa [P. elliottii]) and saw palmetto (Serenoa repens).","Fertile","null","null","null","null","Cultivated in Broward County from seeds collected in Collier County on 22 Oct 2004.","null","null","null","null",FALSE,"Big Cypress National Preserve Addition","-85.0667","W","30.7","N","https://cdn.plantatlas.org/img/specimens/USF/243539.jpg"
"222",28754,"null","2601-54","H. Teuscher","null","Jamaica","null","Orchidaceae","Encyclia","null","null",43208,"null","null","null",TRUE,"null","null","nematocaulon","A. Rich.","Acuña","West Indies","s.d.","null","1971","null","Flower","null","null","null","null","Cultivated at the Montreal Botanical Garden.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/28754.jpg"
"223",28761,"null","25","Pabst","","Brazil","null","Orchidaceae","Encyclia","null","null",43195,"null","null","null",TRUE,"null","null","odoratissima","Lindl.","Schltr.","South America","Mar 1944","Prope [near] Cascatinha, Matas of Tijuca.","null","null","Flower","null","null","null","null","Flowered in cultivation, July 1957.","null","null","null","null",FALSE,"null","-43.280424","W","-22.957417","S","https://cdn.plantatlas.org/img/specimens/USF/28761.jpg"
"224",29207,"null","4531","H. Teuscher","null","Ecuador","null","Orchidaceae","Encyclia","null","null",43187,"null","null","null",TRUE,"null","null","trachypus","Schltr.","null","South America","07/20/1955","null","null","null","Flower","null","null","null","null","Cultivated in Montreal Botanical Garden.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/29207.jpg"
"225",122390,"null","5503","R. P. Wunderlin","J. Poppleton, A. Shuey, R. hilsenbeck, P. Hilsenbeck, R. Wain, T. Wunderlin","USA","Orange Co.","Equisetaceae","Equisetum","null","null",30597,"affine","Engelm.","A. A. Eaton",TRUE,"2943","var.","hyemale","L.","null","North America","04/12/1975","null","Nov 1986","Edge of pond pine [Pinus serotina] community. Roadside.","null","null","null","null","null","Probably an escape from cultivation near Science Center auditorium.","null","null","null","null",FALSE,"Florida Technological University campus [now University of Central Florida]","-82","W","28","N","https://cdn.plantatlas.org/img/specimens/USF/122390.jpg"
"227",250927,"null","1026","C. vanHoek","B. Wargo","USA","Polk Co.","Rosaceae","Eriobotrya","null","null",126884,"null","null","null",TRUE,"207","null","japonica","Thunb.","Lindl.","North America","01/24/1998","Homesite at 451 Hawk Drive; Avon Park Air Force Range; Lake Arbuckle NE 7.5' quadrangle. T32S, R30E, Sec. 30, NW ¼, SW ¼.","null","null","Flower","null","null","null","null","Cultivated plant, not naturalized.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/250927.jpg"
"228",207194,"null","23136","S. R. Hill","","USA","Pickens Co.","Brassicaceae","Eruca","null","null",126598,"null","null","null",TRUE,"null","null","sativa","Mill.","null","North America","05/31/1992","156 Cedar Creek Circle, Central.","Nov 1992","null","Fertile","null","null","null","null","Flowers pale yellow with purple veins; cultivated annual.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/207194.jpg"
"229",241449,"null","29856","S. R. Hill","null","USA","Champaign Co.","Brassicaceae","Erysimum","null","null",238714,"null","null","null",TRUE,"1727","null","cheiranthoides","L.","null","North America","10/09/1997","Champaign; Dodds Park, Eddie Albert garden plots E of Parkland College; W side of Mattis Avenue.","10/1997","Black clay, disturbed.","null","null","null","null","null","Flowers yellow; garden weed; very local in one garden plot; in cultivation.","null","null","null","null",FALSE,"null","-88.243383","W","40.11642","N","https://cdn.plantatlas.org/img/specimens/USF/241449.jpg"
"231",170609,"null","1145","J. L. Zarucchi","R. E. Schultes & J. McElroy","Colombia","null","Erythroxylaceae","Erythroxylum","null","null",137463,"null","null","null",TRUE,"null","null","coca","Lam.","null","South America","04/01/1975","Mitú and vicinity; lower Río Kubiyú, in open area.","1976","null","Fruit","null","null","null","null","Tall shrub 2 m tall; fruit immature; cultivated; plants taller, less favored, for ""cocaine"".","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/170609.JPG"
"232",235784,"null","3209","W. Hoehne","","Brazil","null","Myrtaceae","Eucalyptus","null","null",129997,"null","null","null",TRUE,"null","null","tereticornis","Sm.","null","South America","05/08/1949","Brooklim Paulista.","null","null","null","null","null","null","null","Arvore cultivada.","null","null","null","null",FALSE,"null","-34.868532","W","-7.93848","S","https://cdn.plantatlas.org/img/specimens/USF/235784.JPG"
"236",242874,"null","s.n.","S. Dickman","","USA","Hillsborough Co.","Myrtaceae","Eugenia","null","null",18813,"null","null","null",TRUE,"1388","null","uniflora","L.","null","North America","07/11/2006","1.6 mi. N of C-674, ca. 3 mi. NE of Ruskin.  T31S, R19E, Sec. 34, SE¼ of SE¼.","null","null","null","null","null","null","null","Shrubs, escaped from cultivation.","null","null","null","null",FALSE,"null","-82.43315","W","27.720863","N","https://cdn.plantatlas.org/img/specimens/USF/242874.jpg"
"238",193345,"null","24709","T. A. Zanoni","M. Mejía, J.M. Perez","Dominican Republic","null","Euphorbiaceae","Euphorbia","null","null",142131,"null","null","null",TRUE,"null","null","cotinifolia","L.","null","West Indies","12/07/1982","Cerca del puerto de Sánchez; en el ferrocaril de Sánchez- La Vega; de la ciudad de Sánchez 2 ó 3 km; oeste de la ciudad en el poblado de Los Mangos.","null","Zona urbana y rural con pastizales y campos de arroz.","null","null","null","null","null","Arbolito de 8 m de alto; lactea blanca; hoja roja oscuro sobre verde; inflorescencia y flor verde claro; cultivado.","null","0","5","m",FALSE,"null","-69.63333333","W","19.23333333","N","https://cdn.plantatlas.org/img/specimens/USF/193345.jpg"
"239",196662,"null","16728","S. R. Hill","","USA","Prince George Co.","Euphorbiaceae","Euphorbia","null","null",128566,"null","null","null",TRUE,"null","null","cyparissias","L.","null","North America","05/10/1986","Beltsville, USDA Research Station, Pesticide Road at Beaver Dam Road; weed research area, Beneficial Insects Lab.","null","null","Flower","null","null","null","null","Bracts yellow-green; milky sap; persistent from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/196662.jpg"
"240",96695,"null","505","M. Lujan","","Mexico","null","Euphorbiaceae","Euphorbia","null","null",194928,"null","null","null",TRUE,"null","null","densiflora","Klotzsch & Garcke","Klotzsch","North America","06/06/1967","La Venta, Zapopan.","17-Sep-2017","Bosque de Pinus oocarpa.","Fruit","null","null","null","null","Planta rastrera muy adundante en terrano de cultivo.","null","1610","null","m",FALSE,"null","-103.38479","W","20.723558","N","https://cdn.plantatlas.org/img/specimens/USF/96695.jpg"
"241",20844,"null","s.n.","Collector Unspecified on Label","","USA","Hillsborough Co.","Euphorbiaceae","Euphorbia","null","null",128577,"null","null","null",TRUE,"null","null","leucocephala","Lotsy","null","North America","11/15/2000","Garden of Mrs. Mary Nunez Ten Eick, Seminole Avenue.","Feb 1971","null","Flower","null","null","null","null","Cultigen.","null","null","null","null",FALSE,"null","-82.4908","W","27.8794","N","https://cdn.plantatlas.org/img/specimens/USF/20844.jpg"
"243",97810,"null","9533","W. T. Gillis","","USA","Miami-Dade Co.","Moraceae","Ficus","null","null",118559,"null","null","null",TRUE,"null","null","virens","Aiton","null","North America","12/31/1970","USDA Plant Introduction Station, Miami.","1969","null","null","null","null","null","null","Cultivated, introduced from Guam.","null","null","null","null",FALSE,"null","-80.193659","W","25.774266","N","https://cdn.plantatlas.org/img/specimens/USF/97810.jpg"
"245",89554,"null","s.n.","W. W. Norris","","USA","Ouachita Co.","Apiaceae","Foeniculum","null","null",179715,"null","null","null",TRUE,"1767","null","vulgare","Mill.","null","North America","05/30/1968","Beside 633 Lakeshore Drive; E of Monroe.","null","Vacant lot.","Flower","null","null","null","null","""Fennel"" perennial ca. 6 ft. tall; escaped from cultivation (?).","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/89554.jpg"
"247",207195,"null","23123","S. R. Hill","","USA","New London Co.","Oleaceae","Forsythia","null","null",130434,"null","null","null",TRUE,"null","null","suspensa","Thunb.","Vahl","North America","05/13/1992","Latimer Point, Latimer Point Road, Stonington; S of US 1.","Nov 1992","Hill cottage.","null","null","null","null","null","Flowers yellow, cultivated shrub 6 ft. tall; pith non-septate.","null","null","null","null",FALSE,"null","-71.911454","W","41.333639","N","https://cdn.plantatlas.org/img/specimens/USF/207195.JPG"
"249",180361,"null","9361","W. C. Brumbach","","USA","Lee Co.","Rutaceae","Fortunella","null","null",128385,"null","null","null",TRUE,"null","null","margarita","Lour.","Swingle","North America","04/09/1978","Central Sanibel.","28-Dec-2004","null","Fruit","null","null","null","null","Persisting from former cultivation; a tree 4 m tall, densely branched; fruit somewhat elongated-cylindric, orange.","null","null","null","null",FALSE,"null","-82.022314","W","26.44897","N","https://cdn.plantatlas.org/img/specimens/USF/180361.jpg"
"251",1623,"null","s.n.","C. E. Wood","K.A. Wilson, G.R. Cooley","USA","Hernando Co.","Iridaceae","Freesia","null","null",117405,"null","null","null",TRUE,"1646","null","laxa","Thunb.","Goldblatt & J.C. Manning","North America","04/27/1958","E of house; at Chinsegut Hill, ca. 5 mi. NE of Brooksville.","12-Nov-2015","Lawn.","Flower","null","null","null","null","Cultivated and spreading; perianth slightly zygomorphic, the 3 stamens in an arc, extrorse toward 3 lower tepals; styles 3, biturcate; tepals vivid red, 3 upper with white lines at base, 3 lower (sepal and 2 petals) with 'dark red' (5R3/7) blotch and white line; tube 'brilliant yellow green' (2.5GY9/8) (Nickerson color fan).","null","null","null","null",FALSE,"Brooksville","-82.387871","W","28.555272","N","https://cdn.plantatlas.org/img/specimens/USF/1623.jpg"
"253",61696,"null","27968","O. K. Lakela","","USA","Monroe Co.","Asteraceae","Gaillardia","null","null",41160,"null","null","null",TRUE,"730","null","pulchella","Foug.","null","North America","11/13/1964","Big Pine Key; Vista Linda Motel.","null","Hammock margin.","Bud","Flower","Fruit","null","null","Colony of showy plants to 5 dm tall; not in cultivation; small plant selected.","null","null","null","null",FALSE,"null","-83.0333","W","29.3667","N","https://cdn.plantatlas.org/img/specimens/USF/61696.jpg"
"257",126312,"null","s.n.","A. G. Shuey","J.E. Poppleton","USA","Brevard Co.","Proteaceae","Grevillea","null","null",119041,"null","null","null",TRUE,"48","null","robusta","A. Cunn. ex R. Br.","null","North America","05/09/1973","null","null","null","Flower","null","null","null","null","Persisting from cultivation.","null","null","null","null",FALSE,"North Merritt Island","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/126312.jpg"
"260",203470,"null","1096","Mariluza A. G. Barros","","Brazil","null","Bignoniaceae","Handroanthus","null","null",230654,"null","null","null",TRUE,"4875","null","chrysotrichus","Mart. ex A. DC.","Mattos","South America","08/02/1988","Brasília Fazenda Agua Limpa.","Mar 2017","Cerrado pouco perturbado.","Flower","null","null","null","null","Arvore 3 m cultivada.","null","1070","null","m",FALSE,"null","-47.9","W","-15.95","S","https://cdn.plantatlas.org/img/specimens/USF/203470.jpg"
"261",254500,"null","2203","A. R. Franck","null","USA","Monroe Co.","Cactaceae","Harrisia","null","null",50376,"null","null","null",TRUE,"1262","null","fragrans","Small ex Britton & Rose","null","North America","06/04/2009","Contact USF Herbarium if additional information is required","07 Feb 2013","Rockland hammock, near tidal rock barren.","Flower","null","null","null","null","Cutting taken 26 Dec 2007, rooted and cultivated in Sarasota Co.; flowers nocturnal, open for only one night; petals pinkish white.","null","null","null","null",TRUE,"Key Largo","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/254500.jpg"
"267",253149,"null","s.n.","A. R. Franck","null","Argentina","null","Cactaceae","Harrisia","null","null",49957,"null","null","null",TRUE,"null","null","regelii","Weing.","Borg","South America","09/23/2008","null","03-Aug-2011","null","Fruit","null","null","null","null","International Succulent Introduction (ISI 1996-9) from Huntington Botanical Garden; specimen received from Lotusland, Santa Barbara, CA; cultivated in Sarasota Co., FL. Fruit dehiscent, pulp consumed by unknown animal in yard.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/253149.jpg"
"268",253148,"null","s.n.","A. R. Franck","null","Argentina","null","Cactaceae","Harrisia","null","null",49958,"null","null","null",TRUE,"null","null","regelii","Weing.","Borg","South America","06/19/2008","null","03-Aug-2011","null","Flower","null","null","null","null","International Succulent Introduction (ISI 1996-9) from Huntington Botanical Garden; specimen received from Lotusland, Santa Barbara, CA; cultivated in Sarasota Co., FL. Flowers opened at 22:30; open for only one night.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/253148.jpg"
"270",61449,"null","4657","C. B. Heiser","","USA","Polk Co.","Asteraceae","Helianthus","null","null",40910,"null","null","null",TRUE,"2550","null","agrestis","Pollard","null","North America","1959","null","null","null","Bud","Flower","null","null","null","Cultivated in an Indiana University greenhouse from seed by W.P. Stoutamire 1745.","null","null","null","null",FALSE,"null","-81.697681","W","27.948866","N","https://cdn.plantatlas.org/img/specimens/USF/61449.jpg"
"271",55308,"null","26002","O. K. Lakela","","USA","Pinellas Co.","Asteraceae","Helianthus","null","null",40655,"cucumerifolius","Torr. & A. Gray","Heiser",TRUE,"3367","subsp.","debilis","Nutt.","null","North America","05/23/1963","W side Ridge Road, 2 mi. S of Ulmerton Road.","1980","Sandy, recently disturbed field.","Flower","null","null","null","null","Few noted, 1 collected; across road similar plants in cultivation.","null","null","null","null",FALSE,"null","-82.7667","W","27.8833","N","https://cdn.plantatlas.org/img/specimens/USF/55308.jpg"
"275",241599,"null","29110","S. R. Hill","","Belize","null","Heliconiaceae","Heliconia","null","null",188279,"null","null","null",TRUE,"null","null","aurantiaca","Ghiesbr.","null","Central America","04/08/1997","Blue Creek.","Sep 1997","null","Fruit","null","null","null","null","Flowers pale yellow, bracts reddish-orange; young fruit green; cultivated herb 1.5 m, clumped.","null","null","null","null",FALSE,"null","-89.043019","W","16.195654","N","https://cdn.plantatlas.org/img/specimens/USF/241599.jpg"
"277",193281,"null","29421","T. A. Zanoni","J. Pimentel, R. García","Dominican Republic","null","Euphorbiaceae","Hevea","null","null",142215,"null","null","null",TRUE,"null","null","brasiliensis","Willd. ex Ad. Juss.","Müll. Arg.","West Indies","03/21/1984","Península de Samaná; 2.5 km al sur del poblado de Las Terrenas en la carretera a Sanchez.","null","Zona húmeda y no vegetación natural, una plantación de caucho Hevea brasiliensis.","null","null","null","null","null","Arboles 8-10 m; corola amarilla; frutos secos en las ramas; cultivado; nombre común ""Caucho"".","null","25","null","m",FALSE,"null","-69.55","W","19.3","N","https://cdn.plantatlas.org/img/specimens/USF/193281.jpg"
"280",137240,"null","6164","R. P. Wunderlin","A. Arcuri, B. Hansen","USA","Lee Co.","Malvaceae","Hibiscus","null","null",129316,"rosa-sinensis","null","null",TRUE,"null","var.","rosa-sinensis","L.","null","North America","10/28/1978","Sanibel Island, J.N. ""Ding"" Darling National Wildlife Refuge; 0.6 mi. W of Tarpon Bay Road on Sanibel-Captiva Road.","null","Abandoned homesite.","null","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"null","-82.189261","W","26.522023","N","https://cdn.plantatlas.org/img/specimens/USF/137240.JPG"
"281",119213,"null","s.n.","A. G. Shuey","","USA","Brevard Co.","Malvaceae","Hibiscus","null","null",129308,"schizopetalus","Dyer","null",TRUE,"null","var.","rosa-sinensis","L.","null","North America","09/14/1973","At various points on Merritt Island; N Merritt's Island.","1993","Growing around abandoned homesites.","null","null","null","null","null","Persisting from cultivation for at least 10 years.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/119213.JPG"
"282",121759,"null","s.n.","W. G. D'Arcy","null","USA","St. Louis Co.","Phytolaccaceae","Hilleria","null","null",119203,"null","null","null",TRUE,"null","null","latifolia","Lam.","H. Walter","North America","05/08/1973","null","null","null","Flower","null","null","null","null","Herb ca. 60 cm tall; flowers pinkish; not worthy of cultivation.","null","null","null","null",FALSE,"Missouri Botanical Garden","-90.1833","W","38.8167","N","https://cdn.plantatlas.org/img/specimens/USF/121759.jpg"
"285",204157,"null","22272","S. R. Hill","","USA","Pickens Co.","Cannabaceae","Humulus","null","null",118808,"null","null","null",TRUE,"null","null","lupulus","L.","null","North America","05/12/1991","156 Cedar Creek Circle, Central.","null","null","Fruit","Flower","null","null","null","Flowers and young fruit pale green; cultivated vine ca. 10 ft tall.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/204157.jpg"
"286",39464,"null","1000","A. S. Hitchcock","","Cuba","null","Poaceae","Hyparrhenia","null","null",139497,"null","null","null",TRUE,"74","null","rufa","Nees","Stapf","West Indies","12/09/1926","20 km SE of Baragua Central.","null","Sandy palmetto savanna.","Fertile","null","null","null","null","Cultivated for forage and becoming naturalized.","null","null","null","null",FALSE,"null","-78.616786","W","21.768539","N","https://cdn.plantatlas.org/img/specimens/USF/39464.JPG"
"287",204471,"null","20173","S. R. Hill","","USA","Pickens Co.","Aquifoliaceae","Ilex","null","null",129050,"null","null","null",TRUE,"null","null","crenata","Thunb.","null","North America","01/21/1989","136 Cedar Creek Circle, Central.","Sep 1989","Along front walkway.","null","null","null","null","null","Fruits black, firm; cultivated hedge 3-3.5 m ft. tall, evergreen.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/204471.jpg"
"288",3258,"null","5912","G. R. Cooley","","USA","Hernando Co.","Aquifoliaceae","Ilex","null","null",88339,"opaca","null","null",TRUE,"3826","var.","opaca","Aiton","null","North America","04/13/1948","Along driveway of Chinesgut Hill.","Dec 1980","null","Flower","null","null","null","null","Flowers greenish to cream; ca. 5 m tall; probably cultivated.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/3258.jpg"
"289",3259,"null","5913","G. R. Cooley","","USA","Hernando Co.","Aquifoliaceae","Ilex","null","null",88378,"opaca","null","null",TRUE,"3826","var.","opaca","Aiton","null","North America","04/13/1958","Along driveway of Chinsegut Hill.","Dec 1980","null","Flower","null","null","null","null","Probably cultivated; flowers greenish to cream; tree 5 m high and 6 in. dbh; leaves as in forma subintegra Weath.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/3259.jpg"
"294",224862,"null","50","C. Lippincott","","USA","Miami-Dade Co.","Poaceae","Imperata","null","null",48717,"null","null","null",TRUE,"586","null","brasiliensis","Trin.","null","North America","02/06/1997","E side of Old Cutler Road, ca. blocks S of SW 152nd Street (Coral Reef Drive), bordered on N by homes, on S by oak hammock, on E by paved SW 72nd Avenue. T55S, R40E, Sec. 26.","null","Small block of pine rockland; open patches of sand with oolitic limestone; associated woody species Pinus elliottii and Serenoa repens.","Fertile","null","null","null","null","Cultivated in pots at University of Florida greenhouse in Gainesville; rhizomes collected December 1995; bloomed after shoots were cut off; rhizomatous grass to 0.5 m height, tillers separated by 0.25 m or more, blade color light green; one anther per flower.","null","null","null","null",FALSE,"Charles Deering Park","-80.310608","W","25.615105","N","https://cdn.plantatlas.org/img/specimens/USF/224862.jpg"
"295",2882,"null","54314","R. K. Godfrey","J.P. Gillespie","USA","Citrus Co.","Fabaceae","Indigofera","null","null",3033,"null","null","null",TRUE,"1663","null","hirsuta","L.","null","North America","3 Dec 1955","Floral City.","1955","In old fields, with Chrysopsis and Cenchrus sp.","Flower","Fruit","null","null","null","Annual, to ca. 1.5 m tall. Cultivated and naturalized.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/2882.jpg"
"296",36259,"null","54314","R. K. Godfrey","J.P. Gillespie","USA","Citrus Co.","Fabaceae","Indigofera","null","null",3055,"null","null","null",TRUE,"1663","null","hirsuta","L.","null","North America","3 Dec 1955","null","1955","In old fields.","Immature Fruit","Fruit","null","null","null","Annual, to ca. 1.5 m tall; cultivated and naturalized.","null","null","null","null",FALSE,"Floral City","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/36259.jpg"
"300",85971,"null","483","G. N. Avery","","USA","Miami-Dade Co.","Convolvulaceae","Ipomoea","null","null",60663,"null","null","null",TRUE,"4038","null","triloba","L.","null","North America","10/06/1968","Fairchild Tropical Garden, plot 158.","Oct 1977","null","Flower","null","null","null","null","Large vine sprawled over pile of wood chips, not cultivated; juice milky.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/85971.jpg"
"303",199913,"null","4192","M. A. Vincent","null","USA","Broward Co.","Rubiaceae","Ixora","null","null",82497,"null","null","null",TRUE,"1461","null","coccinea","L.","null","North America","06/09/1989","Fort Lauderdale; around Airport Holiday Inn parking lot.","null","Up through fences and under shrubs.","Flower","null","null","null","null","Weedy; evidently escaped from cultivation.","null","null","null","null",FALSE,"null","-82.739545","W","28.18779","N","https://cdn.plantatlas.org/img/specimens/USF/199913.jpg"
"305",250928,"null","1028","C. vanHoek","B. Wargo","USA","Polk Co.","Oleaceae","Jasminum","null","null",130441,"null","null","null",TRUE,"null","null","amplexicaule","Buch.-Ham. ex G. Don","null","North America","01/24/1998","On Avon Park ARF; Lake Arbuckle. T32S, R30E, Sec. 30, NW¼ of SW¼.","null","Homesite.","null","null","null","null","null","Cultivated plant, not naturalized.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/250928.JPG"
"306",116266,"null","16522","D. Dunn","","USA","Miami-Dade Co.","Oleaceae","Jasminum","null","null",130442,"null","null","null",TRUE,"null","null","beesianum","G. Forrest & Diels","null","North America","04/01/1970","null","null","In vacant lots; soil a sandy loam from decomposed marl.","null","null","null","null","null","As cultivated trees or shrubs.","null","10","15","ft",FALSE,"Homestead","-80.477557","W","25.468722","N","https://cdn.plantatlas.org/img/specimens/USF/116266.JPG"
"307",52435,"null","896","R. R. Smith","T. Myint, A. Will","USA","Miami-Dade Co.","Oleaceae","Jasminum","null","null",18703,"null","null","null",TRUE,"137","null","dichotomum","Vahl","null","North America","03/03/1963","Near Snapper Creek, along Old Cutler Road.  T55S, R41E, Sec. 7.","null","Edge of hammock","Flower","null","null","null","null","Vine, not cultivated; corolla white inside, pinkish outside; fruits green.","Frequent","null","null","null",FALSE,"null","-80.310608","W","25.615105","N","https://cdn.plantatlas.org/img/specimens/USF/52435.jpg"
"308",92635,"null","7501","W. H. Lewis","","Bahamas","North Eleuthera Distr.","Oleaceae","Jasminum","null","null",146549,"null","null","null",TRUE,"61","null","fluminense","Vell.","null","West Indies","12/29/1969","Harbour Island; Dunmore Town.","1972","Weeds, sandy soil.","Flower","null","null","null","null","Vine; corolla white, fragrant; adventive after cultivation.","null","null","null","null",FALSE,"null","-74.905497","W","23.047686","N","https://cdn.plantatlas.org/img/specimens/USF/92635.jpg"
